input_size,prediction_dir,image_id,valid_pixels,depth_processing,abs_rel,depth_rmse_m,xyz_rmse_m
280,out_metric280,nyu_0001,230471,raw_metric_no_alignment_no_clipping,0.6431360851146698,1.9189271100393372,2.049655613151771
280,out_metric280,nyu_0101,195042,raw_metric_no_alignment_no_clipping,0.680255065372871,1.335472816870958,1.4325186049348448
280,out_metric280,nyu_0201,185643,raw_metric_no_alignment_no_clipping,0.6705675650477823,1.7335620005357641,1.8834165701293046
280,out_metric280,nyu_0401,225314,raw_metric_no_alignment_no_clipping,0.6582580478185778,1.860130745530187,1.98411484813297
280,out_metric280,nyu_0601,229978,raw_metric_no_alignment_no_clipping,0.3846250082484139,1.3405725247172058,1.438269146119662
280,out_metric280,nyu_0801,165008,raw_metric_no_alignment_no_clipping,0.6585424837034628,1.9886012729706342,2.1947081905513874
280,out_metric280,nyu_1001,206243,raw_metric_no_alignment_no_clipping,0.6826638054904108,1.7915336625923726,1.9197902236359898
280,out_metric280,nyu_1201,212119,raw_metric_no_alignment_no_clipping,0.3738304084277456,0.9244918405204193,0.9991179216758421
518,results_metric_518,nyu_0001,230471,raw_metric_no_alignment_no_clipping,0.401285081175314,1.230448022793135,1.3108757722458018
518,results_metric_518,nyu_0101,195042,raw_metric_no_alignment_no_clipping,0.33315439483237563,0.8759275275053118,0.927669875156262
518,results_metric_518,nyu_0201,185643,raw_metric_no_alignment_no_clipping,0.29793313178911235,0.9169953193346748,0.9883063593978251
518,results_metric_518,nyu_0401,225314,raw_metric_no_alignment_no_clipping,0.3149953920124736,1.0853900421911686,1.1545708444349478
518,results_metric_518,nyu_0601,229978,raw_metric_no_alignment_no_clipping,0.08658238927961688,0.42261168542855326,0.4562066518052751
518,results_metric_518,nyu_0801,165008,raw_metric_no_alignment_no_clipping,0.11375514696625957,0.5070140940082115,0.5391125740945966
518,results_metric_518,nyu_1001,206243,raw_metric_no_alignment_no_clipping,0.13759809757192654,0.3368197276009661,0.3671104173497443
518,results_metric_518,nyu_1201,212119,raw_metric_no_alignment_no_clipping,0.0922110610690998,0.26910455774708797,0.28302756267125806
