input_size,prediction_dir,image_id,valid_pixels,aligned_abs_rel,depth_rmse_m,xyz_rmse_m
280,out280,nyu_0001,230471,0.021015592994183045,0.08303915766091662,0.09059225495131966
280,out280,nyu_0101,195042,0.18230658237222339,0.6230036315055487,0.6646854904366394
280,out280,nyu_0201,185643,0.15884081840902914,1.2179456019491788,1.3046050998588028
280,out280,nyu_0401,225314,0.03944454335806168,0.1510663442368802,0.16266063003596384
280,out280,nyu_0601,229978,0.03862806793119826,0.24454677469292085,0.2622297134475698
280,out280,nyu_0801,165008,0.07485263691911329,0.46443647149558487,0.4908346072100039
280,out280,nyu_1001,206243,0.06397986722132182,0.21949724010486385,0.23588002644166423
280,out280,nyu_1201,212119,0.06384282840826418,0.21226002226841723,0.22829227188421528
518,results_518,nyu_0001,230471,0.026224007612974685,0.09744405038380433,0.10665222727229774
518,results_518,nyu_0101,195042,0.16573291503888654,0.6835339069874097,0.7280868414638553
518,results_518,nyu_0201,185643,0.10255099422745195,0.828987041448478,0.8748603562045143
518,results_518,nyu_0401,225314,0.05594245859628196,0.1820724635562943,0.19579726863205363
518,results_518,nyu_0601,229978,0.03806679002026615,0.22253584912105737,0.2367865347264569
518,results_518,nyu_0801,165008,0.09426176832970322,0.5775527717543623,0.6177205112775107
518,results_518,nyu_1001,206243,0.0699231025300422,0.22379624102615941,0.2421552885263988
518,results_518,nyu_1201,212119,0.05134101115485148,0.1744243380534717,0.18652512596775772
