model,input_size,protocol,image_id,valid_pixels,depth_processing,prediction_dir,output_dir,alignment_a,alignment_b,abs_rel,depth_rmse_m,xyz_rmse_m
metric,518,raw,nyu_0801,165008,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.11375514696625957,0.5070140940082115,0.5391125740945966
metric,518,raw,nyu_1001,206243,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.13759809757192654,0.3368197276009661,0.3671104173497443
metric,518,raw,nyu_1201,212119,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.0922110610690998,0.26910455774708797,0.28302756267125806
metric,280,aligned,nyu_0001,230471,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.8712705072860651,-0.046592712607422856,0.032906064125750256,0.12463576064698874,0.13575747638024427
metric,280,aligned,nyu_0101,195042,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.7651915996994574,-0.039533590457183354,0.18908383072049542,0.7716561862938986,0.8101142282233862
metric,280,aligned,nyu_0201,185643,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,2.6070741819745753,-0.23056414672183437,0.20959439523160156,1.372271581723837,1.4817083882073716
metric,280,aligned,nyu_0401,225314,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.8411092425007611,-0.03904897102834364,0.06343045756541994,0.21249735346213702,0.22804639023511233
metric,280,aligned,nyu_0601,229978,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.564462701193941,-0.03698382172183812,0.039124265510566636,0.242098148690799,0.26196419511702734
metric,280,aligned,nyu_0801,165008,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,0.9892980966724376,0.1489842848753066,0.2507602012581117,1.6669748401222886,1.8008816019737788
metric,280,aligned,nyu_1001,206243,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,2.4934292693981117,-0.18122163500443214,0.0984672583538688,0.37639797408890113,0.4077546322740914
metric,280,aligned,nyu_1201,212119,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.1041597167317319,0.08465686056179904,0.06829529848415196,0.21396898963686176,0.22869365283765142
metric,518,aligned,nyu_0001,230471,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,1.2094848333173664,0.04567728773898417,0.03614723712885447,0.12907470767761625,0.14079675394164007
metric,518,aligned,nyu_0101,195042,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,1.3999970918250517,-0.044121619780808925,0.18454983829518878,0.7537349741017497,0.8057267031138009
metric,518,aligned,nyu_0201,185643,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,1.789635220655993,-0.1664628205418494,0.19022044537965793,1.2045697706846878,1.302878642050974
metric,518,aligned,nyu_0401,225314,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,1.0939395169398405,0.059390160174476486,0.0767101596894085,0.23053717075643215,0.24830314149129065
metric,518,aligned,nyu_0601,229978,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,1.0742111840736026,0.002662911910143031,0.03605352097770907,0.24104462246837197,0.2590272096698672
metric,518,aligned,nyu_0801,165008,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,0.9784821195315887,0.038378858497801586,0.1134689997990939,0.7457107221669763,0.802269761876935
metric,518,aligned,nyu_1001,206243,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,1.6483611481205291,-0.17079501929588806,0.09400763700078456,0.30969160041434035,0.3334891413625775
metric,518,aligned,nyu_1201,212119,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/518/prediction,outputs/metric/518/aligned,0.7194450315273262,0.10166583788906014,0.070840656306505,0.21902249594459178,0.23229706757344648
